name,visitor
Acadia,"3,537,575"
American Samoa,"28,626"
Arches,"1,663,557"
Badlands,"1,008,942"
Big Bend,"440,091"
Biscayne,"469,253"
Black Canyon of the Gunnison,"308,962"
Bryce Canyon,"2,679,478"
Canyonlands,"739,449"
Capitol Reef,"1,227,627"
Carlsbad Caverns,"465,912"
Channel Islands,"366,250"
Congaree,"145,929"
Crater Lake,"720,659"
Cuyahoga Valley,"2,096,053"
Death Valley,"1,678,660"
Denali,"594,660"
Dry Tortugas,"56,810"
Everglades,"597,124"
Gates of the Arctic,"9,591"
Gateway Arch,"2,016,180"
Glacier,"2,965,309"
Glacier Bay,"597,915"
Grand Canyon,"6,380,495"
Grand Teton,"3,491,151"
Great Basin,"153,094"
Great Sand Dunes,"442,905"
Great Smoky Mountains,"11,421,200"
Guadalupe Mountains,"172,347"
Haleakalā,"1,044,084"
Hawaiʻi Volcanoes,"1,116,891"
Hot Springs,"1,506,887"
Indiana Dunes,"1,756,079"
Isle Royale,"25,798"
Joshua Tree,"2,942,382"
Katmai,"37,818"
Kenai Fjords,"321,596"
Kings Canyon,"699,023"
Kobuk Valley,"14,937"
Lake Clark,"14,479"
Lassen Volcanic,"499,435"
Mammoth Cave,"533,206"
Mesa Verde,"563,420"
Mount Rainier,"1,518,491"
North Cascades,"30,085"
Olympic,"3,104,455"
Petrified Forest,"644,922"
Pinnacles,"222,152"
Redwood,"482,536"
Rocky Mountain,"4,590,493"
Saguaro,"957,405"
Sequoia,"1,229,594"
Shenandoah,"1,264,880"
Theodore Roosevelt,"749,389"
Virgin Islands,"112,287"
Voyageurs,"239,656"
Wind Cave,"656,397"
Wrangell–St. Elias,"79,450"
Yellowstone,"4,115,000"
Yosemite,"4,009,436"
Zion,"4,320,033"
